    Cumulative average(K)        Min Uncertainty(K)        Max Uncertainty(K)
                  4012.220                   4012.412                   4012.586
                  4012.771                   4012.992                   4013.263
                  4013.583                   4013.942                   4014.319
                  4014.685                   4015.005                   4015.240
                  4015.353                   4015.314                   4015.106
                  4014.731                   4014.205                   4013.557
                  4012.829                   4012.067                   4011.325
                  4010.655                   4010.106                   4009.717
                  4009.512                   4009.492                   4009.641
                  4009.927                   4010.309                   4010.747
                  4011.209                   4011.675                   4012.132
                  4012.569                   4012.973                   4013.327
                  4013.600                   4013.764                   4013.795
                  4013.682                   4013.432                   4013.067
                  4012.624                   4012.142                   4011.661
                  4011.222                   4010.860                   4010.600
                  4010.461                   4010.445                   4010.545
                  4010.747                   4011.030                   4011.377
                  4011.769                   4012.188                   4012.623
                  4013.059                   4013.486                   4013.885
                  4014.236                   4014.507                   4014.667
                  4014.687                   4014.545                   4014.240
                  4013.784                   4013.209                   4012.555
                  4011.867                   4011.186                   4010.544
                  4009.957                   4009.430                   4008.960
                  4008.541                   4008.173                   4007.860
                  4007.613                   4007.443                   4007.361
                  4007.368                   4007.461                   4007.626
                  4007.843                   4008.089                   4008.346
                  4008.597                   4008.837                   4009.065
                  4009.290                   4009.531                   4009.817
                  4010.178                   4010.639                   4011.211
                  4011.880                   4012.613                   4013.362
                  4014.076                   4014.710                   4015.233
                  4015.631                   4015.906                   4016.071
                  4016.148                   4016.161                   4016.125
                  4016.049                   4015.928                   4015.755
                  4015.523                   4015.226                   4014.869
                  4014.462                   4014.019                   4013.555
                  4013.086                   4012.626                   4012.181
                  4011.757                   4011.355                   4010.978
                  4010.630                   4010.320                   4010.058
                  4009.860                   4009.737                   4009.700
                  4009.752                   4009.896                   4010.123
                  4010.418                   4010.754                   4011.098
                  4011.409                   4011.646                   4011.780
                  4011.798                   4011.703                   4011.514
                  4011.257                   4010.963                   4010.665
                  4010.400                   4010.209                   4010.123
                  4010.162                   4010.323                   4010.588
                  4010.922                   4011.279                   4011.613
                  4011.880                   4012.039                   4012.066
                  4011.950                   4011.706                   4011.370
                  4010.990                   4010.625                   4010.325
                  4010.122                   4010.028                   4010.029
                  4010.095                   4010.188                   4010.266
                  4010.298                   4010.258                   4010.135
                  4009.930                   4009.662                   4009.358
                  4009.059                   4008.804                   4008.629
                  4008.557                   4008.595                   4008.739
                  4008.975                   4009.292                   4009.681
                  4010.136                   4010.653                   4011.219
                  4011.815                   4012.408                   4012.956
                  4013.413                   4013.732                   4013.880
                  4013.835                   4013.597                   4013.182
                  4012.625                   4011.970                   4011.270
                  4010.580                   4009.954                   4009.438
                  4009.068                   4008.862                   4008.823
                  4008.939                   4009.186                   4009.530
                  4009.942                   4010.395                   4010.875
                  4011.378                   4011.905                   4012.455
                  4013.011                   4013.539                   4013.998
                  4014.349                   4014.568                   4014.653
                  4014.620                   4014.501                   4014.327
                  4014.124                   4013.904                   4013.670
                  4013.417                   4013.140                   4012.834
                  4012.502                   4012.150                   4011.789
                  4011.430                   4011.087                   4010.769
                  4010.485                   4010.237                   4010.028
                  4009.860                   4009.740                   4009.678
                  4009.680                   4009.746                   4009.866
                  4010.019                   4010.172                   4010.290
                  4010.342                   4010.306                   4010.173
                  4009.955                   4009.676                   4009.374
                  4009.087                   4008.848                   4008.676
                  4008.569                   4008.510                   4008.478
                  4008.458                   4008.447                   4008.449
                  4008.474                   4008.525                   4008.601
                  4008.697                   4008.810                   4008.938
                  4009.084                   4009.249                   4009.427
                  4009.612                   4009.788                   4009.938
                  4010.051                   4010.121                   4010.151
                  4010.149                   4010.124                   4010.082
                  4010.025                   4009.954                   4009.875
                  4009.801                   4009.753                   4009.752
                  4009.819                   4009.966                   4010.190
                  4010.480                   4010.815                   4011.168
                  4011.513                   4011.819                   4012.061
                  4012.215                   4012.264                   4012.201
                  4012.028                   4011.760                   4011.421
                  4011.042                   4010.666                   4010.336
                  4010.098                   4009.993                   4010.048
                  4010.277                   4010.669                   4011.194
                  4011.799                   4012.415                   4012.971
                  4013.400                   4013.656                   4013.725
                  4013.625                   4013.396                   4013.090
                  4012.756                   4012.429                   4012.127
                  4011.851                   4011.596                   4011.350
                  4011.108                   4010.868                   4010.636
                  4010.426                   4010.255                   4010.137
                  4010.079                   4010.079                   4010.120
                  4010.185                   4010.257                   4010.321
                  4010.374                   4010.417                   4010.451
                  4010.480                   4010.500                   4010.504
                  4010.477                   4010.403                   4010.267
                  4010.058                   4009.767                   4009.399
                  4008.964                   4008.477                   4007.964
                  4007.452                   4006.970                   4006.548
                  4006.215                   4005.993                   4005.896
                  4005.928                   4006.081                   4006.334
                  4006.662                   4007.041                   4007.450
                  4007.883                   4008.341                   4008.827
                  4009.345                   4009.887                   4010.434
                  4010.958                   4011.429                   4011.815
                  4012.097                   4012.266                   4012.326
                  4012.287                   4012.163                   4011.967
                  4011.713                   4011.415                   4011.088
                  4010.749                   4010.419                   4010.119
                  4009.864                   4009.667                   4009.530
                  4009.445                   4009.403                   4009.393
                  4009.410                   4009.451                   4009.516
                  4009.604                   4009.715                   4009.851
                  4010.009                   4010.185                   4010.370
                  4010.553                   4010.720                   4010.853
                  4010.937                   4010.963                   4010.927
                  4010.836                   4010.708                   4010.570
                  4010.457                   4010.401                   4010.428
                  4010.548                   4010.758                   4011.038
                  4011.365                   4011.710                   4012.049
                  4012.358                   4012.621                   4012.823
                  4012.957                   4013.018                   4013.009
                  4012.934                   4012.800                   4012.612
                  4012.377                   4012.105                   4011.801
                  4011.474                   4011.130                   4010.777
                  4010.419                   4010.065                   4009.718
                  4009.379                   4009.041                   4008.696
                  4008.329                   4007.924                   4007.475
                  4006.981                   4006.454                   4005.917
                  4005.402                   4004.944                   4004.580
                  4004.342                   4004.254                   4004.325
                  4004.553                   4004.917                   4005.386
                  4005.924                   4006.496                   4007.076
                  4007.650                   4008.213                   4008.765
                  4009.306                   4009.835                   4010.351
                  4010.853                   4011.333                   4011.781
                  4012.176                   4012.499                   4012.727
                  4012.849                   4012.861                   4012.772
                  4012.597                   4012.357                   4012.070
                  4011.757                   4011.435                   4011.116
                  4010.809                   4010.519                   4010.248
                  4009.994                   4009.758                   4009.541
                  4009.354                   4009.207                   4009.119
                  4009.106                   4009.180                   4009.338
                  4009.566                   4009.834                   4010.102
                  4010.330                   4010.486                   4010.556
                  4010.539                   4010.452                   4010.317
                  4010.157                   4009.995                   4009.849
                  4009.735                   4009.670                   4009.669
                  4009.745                   4009.907                   4010.147
                  4010.448                   4010.776                   4011.090
                  4011.349                   4011.519                   4011.580
                  4011.528                   4011.376                   4011.149
                  4010.881                   4010.604                   4010.347
                  4010.130                   4009.964                   4009.851
                  4009.789                   4009.772                   4009.794
                  4009.850                   4009.928                   4010.013
                  4010.084                   4010.116                   4010.085
                  4009.970                   4009.763                   4009.464
                  4009.088                   4008.661                   4008.217
                  4007.792                   4007.425                   4007.151
                  4006.996                   4006.978                   4007.105
                  4007.366                   4007.739                   4008.184
                  4008.655                   4009.101                   4009.477
                  4009.750                   4009.902                   4009.930
                  4009.842                   4009.655                   4009.391
                  4009.076                   4008.736                   4008.397
                  4008.084                   4007.817                   4007.618
                  4007.501                   4007.475                   4007.543
                  4007.698                   4007.920                   4008.182
                  4008.455                   4008.712                   4008.937
                  4009.122                   4009.267                   4009.374
                  4009.447                   4009.488                   4009.499
                  4009.486                   4009.455                   4009.417
                  4009.384                   4009.370                   4009.388
                  4009.449                   4009.557                   4009.710
                  4009.902                   4010.124                   4010.365
                  4010.620                   4010.885                   4011.152
                  4011.411                   4011.646                   4011.837
                  4011.963                   4012.012                   4011.976
                  4011.859                   4011.675                   4011.442
                  4011.183                   4010.921                   4010.674
                  4010.454                   4010.262                   4010.092
                  4009.934                   4009.777                   4009.614
                  4009.446                   4009.282                   4009.141
                  4009.044                   4009.012                   4009.052
                  4009.158                   4009.312                   4009.489
                  4009.664                   4009.819                   4009.944
                  4010.034                   4010.087                   4010.102
                  4010.074                   4009.996                   4009.863
                  4009.672                   4009.427                   4009.135
                  4008.810                   4008.469                   4008.129
                  4007.804                   4007.508                   4007.249
                  4007.033                   4006.866                   4006.750
                  4006.687                   4006.677                   4006.719
                  4006.805                   4006.927                   4007.072
                  4007.223                   4007.364                   4007.478
                  4007.552                   4007.577                   4007.545
                  4007.458                   4007.324                   4007.159
                  4006.987                   4006.838                   4006.741
                  4006.725                   4006.807                   4006.991
                  4007.267                   4007.617                   4008.020
                  4008.452                   4008.896                   4009.334
                  4009.752                   4010.138                   4010.483
                  4010.783                   4011.040                   4011.256
                  4011.439                   4011.591                   4011.715
                  4011.807                   4011.863                   4011.876
                  4011.838                   4011.741                   4011.583
                  4011.362                   4011.085                   4010.765
                  4010.423                   4010.081                   4009.766
                  4009.504                   4009.319                   4009.232
                  4009.255                   4009.388                   4009.621
                  4009.927                   4010.266                   4010.595
                  4010.869                   4011.046                   4011.099
                  4011.014                   4010.793                   4010.454
                  4010.031                   4009.565                   4009.101
                  4008.676                   4008.320                   4008.050
                  4007.873                   4007.785                   4007.778
                  4007.836                   4007.942                   4008.076
                  4008.219                   4008.352                   4008.463
                  4008.538                   4008.570                   4008.554
                  4008.486                   4008.369                   4008.214
                  4008.034                   4007.847                   4007.671
                  4007.519                   4007.397                   4007.304
                  4007.239                   4007.194                   4007.171
                  4007.173                   4007.211                   4007.301
                  4007.453                   4007.670                   4007.937
                  4008.231                   4008.515                   4008.755
                  4008.930                   4009.029                   4009.063
                  4009.050                   4009.015                   4008.980
                  4008.964                   4008.974                   4009.012
                  4009.076                   4009.157                   4009.244
                  4009.328                   4009.393                   4009.429
                  4009.424                   4009.375                   4009.278
                  4009.136                   4008.951                   4008.728
                  4008.474                   4008.198                   4007.916
                  4007.643                   4007.398                   4007.197
                  4007.055                   4006.981                   4006.976
                  4007.037                   4007.151                   4007.306
                  4007.489                   4007.694                   4007.920
                  4008.171                   4008.452                   4008.764
                  4009.102                   4009.457                   4009.811
                  4010.148                   4010.451                   4010.704
                  4010.895                   4011.020                   4011.077
                  4011.074                   4011.023                   4010.943
                  4010.848                   4010.753                   4010.669
                  4010.606                   4010.576                   4010.587
                  4010.642                   4010.735                   4010.848
                  4010.958                   4011.034                   4011.050
                  4010.990                   4010.845                   4010.618
                  4010.321                   4009.971                   4009.586
                  4009.185                   4008.784                   4008.399
                  4008.038                   4007.709                   4007.419
                  4007.175                   4006.984                   4006.854
                  4006.789                   4006.788                   4006.845
                  4006.944                   4007.060                   4007.164
                  4007.227                   4007.220                   4007.124
                  4006.932                   4006.649                   4006.297
                  4005.912                   4005.537                   4005.220
                  4005.002                   4004.916                   4004.981
                  4005.199                   4005.555                   4006.018
                  4006.542                   4007.077                   4007.574
                  4007.995                   4008.324                   4008.562
                  4008.734                   4008.870                   4009.005
                  4009.166                   4009.366                   4009.599
                  4009.853                   4010.108                   4010.349
                  4010.566                   4010.755                   4010.913
                  4011.035                   4011.114                   4011.139
                  4011.102                   4010.995                   4010.815
                  4010.567                   4010.260                   4009.909
                  4009.530                   4009.145                   4008.775
                  4008.441                   4008.160                   4007.950
                  4007.819                   4007.776                   4007.821
                  4007.949                   4008.148                   4008.402
                  4008.689                   4008.986                   4009.268
                  4009.511                   4009.690                   4009.788
                  4009.795                   4009.709                   4009.535
                  4009.291                   4008.995                   4008.675
                  4008.359                   4008.077                   4007.859
                  4007.731                   4007.707                   4007.790
                  4007.963                   4008.201                   4008.464
                  4008.715                   4008.917                   4009.049
                  4009.098                   4009.068                   4008.972
                  4008.830                   4008.661                   4008.484
                  4008.314                   4008.163                   4008.040
                  4007.949                   4007.886                   4007.846
                  4007.817                   4007.792                   4007.763
                  4007.732                   4007.704                   4007.686
                  4007.684                   4007.704                   4007.744
                  4007.801                   4007.866                   4007.932
                  4007.986                   4008.017                   4008.016
                  4007.975                   4007.891                   4007.763
                  4007.597                   4007.401                   4007.189
                  4006.977                   4006.789                   4006.648
                  4006.575                   4006.590                   4006.703
                  4006.915                   4007.214                   4007.579
                  4007.981                   4008.393                   4008.799
                  4009.191                   4009.570                   4009.932
                  4010.264                   4010.539                   4010.732
                  4010.820                   4010.798                   4010.671
                  4010.460                   4010.193                   4009.898
                  4009.606                   4009.338                   4009.108
                  4008.921                   4008.775                   4008.660
                  4008.568                   4008.486                   4008.409
                  4008.331                   4008.254                   4008.182
                  4008.124                   4008.086                   4008.072
                  4008.089                   4008.139                   4008.227
                  4008.357                   4008.527                   4008.726
                  4008.936                   4009.130                   4009.285
                  4009.382                   4009.409                   4009.363
                  4009.249                   4009.073                   4008.843
                  4008.570                   4008.266                   4007.943
                  4007.621                   4007.316                   4007.047
                  4006.827                   4006.665                   4006.563
                  4006.516                   4006.514                   4006.543
                  4006.589                   4006.642                   4006.695
                  4006.748                   4006.805                   4006.873
                  4006.958                   4007.061                   4007.179
                  4007.309                   4007.442                   4007.571
                  4007.692                   4007.798                   4007.885
                  4007.952                   4008.003                   4008.047
                  4008.099                   4008.179                   4008.307
                  4008.492                   4008.736                   4009.026
                  4009.343                   4009.661                   4009.954
                  4010.199                   4010.376                   4010.468
                  4010.464                   4010.355                   4010.145
                  4009.844                   4009.476                   4009.070
                  4008.661                   4008.277                   4007.936
                  4007.650                   4007.418                   4007.237
                  4007.098                   4006.993                   4006.916
                  4006.865                   4006.846                   4006.866
                  4006.934                   4007.055                   4007.223
                  4007.422                   4007.626                   4007.811
                  4007.952                   4008.037                   4008.061
                  4008.032                   4007.964                   4007.873
                  4007.781                   4007.709                   4007.677
                  4007.705                   4007.808                   4007.994
                  4008.263                   4008.602                   4008.986
                  4009.386                   4009.766                   4010.093
                  4010.339                   4010.482                   4010.511
                  4010.429                   4010.249                   4009.995
                  4009.695                   4009.382                   4009.083
                  4008.816                   4008.594                   4008.418
                  4008.284                   4008.185                   4008.107
                  4008.040                   4007.975                   4007.905
                  4007.827                   4007.743                   4007.652
                  4007.552                   4007.437                   4007.298
                  4007.125                   4006.918                   4006.682
                  4006.431                   4006.188                   4005.982
                  4005.844                   4005.799                   4005.864
                  4006.043                   4006.325                   4006.684
                  4007.083                   4007.480                   4007.832
                  4008.108                   4008.286                   4008.364
                  4008.353                   4008.273                   4008.154
                  4008.026                   4007.915                   4007.842
                  4007.815                   4007.834                   4007.889
                  4007.967                   4008.050                   4008.124
                  4008.180                   4008.213                   4008.227
                  4008.226                   4008.218                   4008.209
                  4008.199                   4008.189                   4008.180
                  4008.177                   4008.192                   4008.237
                  4008.324                   4008.455                   4008.619
                  4008.798                   4008.972                   4009.123
                  4009.241                   4009.321                   4009.364
                  4009.374                   4009.355                   4009.310
                  4009.239                   4009.142                   4009.021
                  4008.876                   4008.713                   4008.546
                  4008.391                   4008.266                   4008.180
                  4008.132                   4008.109                   4008.091
                  4008.067                   4008.025                   4007.963
                  4007.877                   4007.767                   4007.634
                  4007.484                   4007.328                   4007.183
                  4007.066                   4006.993                   4006.979
                  4007.030                   4007.146                   4007.318
                  4007.528                   4007.755                   4007.970
                  4008.148                   4008.268                   4008.316
                  4008.290                   4008.196                   4008.044
                  4007.847                   4007.616                   4007.361
                  4007.092                   4006.821                   4006.563
                  4006.337                   4006.162                   4006.057
                  4006.036                   4006.103                   4006.256
                  4006.482                   4006.760                   4007.068
                  4007.384                   4007.686                   4007.954
                  4008.171                   4008.325                   4008.413
                  4008.444                   4008.437                   4008.410
                  4008.375                   4008.336                   4008.291
                  4008.234                   4008.160                   4008.068
                  4007.958                   4007.831                   4007.691
                  4007.545                   4007.404                   4007.284
                  4007.202                   4007.171                   4007.194
                  4007.268                   4007.379                   4007.512
                  4007.648                   4007.775                   4007.884
                  4007.979                   4008.064                   4008.147
                  4008.230                   4008.310                   4008.379
                  4008.426                   4008.442                   4008.423
                  4008.374                   4008.304                   4008.227
                  4008.156                   4008.097                   4008.052
                  4008.015                   4007.978                   4007.934
                  4007.879                   4007.817                   4007.754
                  4007.700                   4007.660                   4007.642
                  4007.651                   4007.687                   4007.748
                  4007.824                   4007.900                   4007.960
                  4007.991                   4007.987                   4007.946
                  4007.870                   4007.765                   4007.642
                  4007.522                   4007.425                   4007.373
                  4007.378                   4007.440                   4007.550
                  4007.691                   4007.847                   4008.005
                  4008.158                   4008.302                   4008.435
                  4008.554                   4008.654                   4008.723
                  4008.748                   4008.717                   4008.620
                  4008.451                   4008.212                   4007.909
                  4007.555                   4007.166                   4006.763
                  4006.365                   4005.992                   4005.665
                  4005.402                   4005.222                   4005.140
                  4005.165                   4005.300                   4005.535
                  4005.852                   4006.223                   4006.618
                  4007.007                   4007.364                   4007.673
                  4007.920                   4008.101                   4008.214
                  4008.264                   4008.256                   4008.205
                  4008.122                   4008.023                   4007.918
                  4007.814                   4007.711                   4007.601
                  4007.479                   4007.340                   4007.181
                  4007.008                   4006.833                   4006.668
                  4006.532                   4006.442                   4006.414
                  4006.459                   4006.585                   4006.789
                  4007.062                   4007.388                   4007.743
                  4008.107                   4008.462                   4008.794
                  4009.092                   4009.348                   4009.555
                  4009.706                   4009.796                   4009.827
                  4009.806                   4009.742                   4009.652
                  4009.545                   4009.433                   4009.322
                  4009.215                   4009.111                   4009.008
                  4008.901                   4008.779                   4008.635
                  4008.463                   4008.257                   4008.020
                  4007.755                   4007.469                   4007.174
                  4006.880                   4006.597                   4006.332
                  4006.092                   4005.880                   4005.695
                  4005.537                   4005.408                   4005.316
                  4005.273                   4005.295                   4005.395
                  4005.576                   4005.833                   4006.149
                  4006.500                   4006.858                   4007.197
                  4007.497                   4007.740                   4007.918
                  4008.028                   4008.071                   4008.050
                  4007.974                   4007.851                   4007.698
                  4007.530                   4007.369                   4007.234
                  4007.142                   4007.105                   4007.131
                  4007.220                   4007.366                   4007.558
                  4007.781                   4008.019                   4008.255
                  4008.474                   4008.668                   4008.829
                  4008.954                   4009.042                   4009.088
                  4009.087                   4009.034                   4008.927
                  4008.768                   4008.563                   4008.322
                  4008.061                   4007.795                   4007.540
                  4007.306                   4007.102                   4006.934
                  4006.802                   4006.707                   4006.651
                  4006.632                   4006.651                   4006.707
                  4006.801                   4006.930                   4007.088
                  4007.265                   4007.447                   4007.619
                  4007.761                   4007.859                   4007.906
                  4007.897                   4007.840                   4007.745
                  4007.628                   4007.504                   4007.385
                  4007.277                   4007.180                   4007.088
                  4006.998                   4006.904                   4006.807
                  4006.708                   4006.613                   4006.530
                  4006.468                   4006.438                   4006.447
                  4006.502                   4006.604                   4006.754
                  4006.945                   4007.169                   4007.415
                  4007.669                   4007.913                   4008.131
                  4008.306                   4008.428                   4008.490
                  4008.495                   4008.455                   4008.386
                  4008.307                   4008.233                   4008.177
                  4008.140                   4008.118                   4008.100
                  4008.077                   4008.042                   4007.995
                  4007.938                   4007.876                   4007.812
                  4007.750                   4007.686                   4007.619
                  4007.541                   4007.447                   4007.335
                  4007.203                   4007.053                   4006.887
                  4006.713                   4006.536                   4006.363
                  4006.198                   4006.049                   4005.918
                  4005.812                   4005.732                   4005.686
                  4005.680                   4005.722                   4005.819
                  4005.972                   4006.180                   4006.431
                  4006.710                   4006.996                   4007.272
                  4007.526                   4007.748                   4007.937
                  4008.096                   4008.227                   4008.336
                  4008.425                   4008.492                   4008.536
                  4008.554                   4008.545                   4008.511
                  4008.457                   4008.392                   4008.321
                  4008.246                   4008.163                   4008.064
                  4007.938                   4007.778                   4007.581
                  4007.355                   4007.116                   4006.885
                  4006.688                   4006.546                   4006.478
                  4006.488                   4006.576                   4006.727
                  4006.922                   4007.141                   4007.362
                  4007.571                   4007.758                   4007.917
                  4008.046                   4008.142                   4008.205
                  4008.233                   4008.225                   4008.179
                  4008.096                   4007.976                   4007.822
                  4007.640                   4007.434                   4007.213
                  4006.989                   4006.771                   4006.569
                  4006.393                   4006.250                   4006.143
                  4006.074                   4006.041                   4006.044
                  4006.078                   4006.145                   4006.240
                  4006.363                   4006.507                   4006.668
                  4006.833                   4006.994                   4007.141
                  4007.266                   4007.363                   4007.430
                  4007.467                   4007.476                   4007.462
                  4007.435                   4007.403                   4007.381
                  4007.378                   4007.399                   4007.443
                  4007.503                   4007.566                   4007.624
                  4007.668                   4007.693                   4007.702
                  4007.694                   4007.674                   4007.643
                  4007.606                   4007.567                   4007.532
                  4007.505                   4007.489                   4007.485
                  4007.490                   4007.500                   4007.509
                  4007.512                   4007.501                   4007.469
                  4007.410                   4007.320                   4007.199
                  4007.054                   4006.899                   4006.748
                  4006.619                   4006.526                   4006.479
                  4006.480                   4006.523                   4006.599
                  4006.693                   4006.792                   4006.882
                  4006.953                   4006.998                   4007.014
                  4006.998                   4006.951                   4006.875
                  4006.775                   4006.658                   4006.533
                  4006.412                   4006.308                   4006.234
                  4006.201                   4006.219                   4006.294
                  4006.428                   4006.615                   4006.845
                  4007.100                   4007.359                   4007.599
                  4007.798                   4007.941                   4008.016
                  4008.024                   4007.970                   4007.869
                  4007.740                   4007.599                   4007.461
                  4007.333                   4007.220                   4007.123
                  4007.040                   4006.972                   4006.922
                  4006.891                   4006.884                   4006.903
                  4006.949                   4007.019                   4007.109
                  4007.210                   4007.315                   4007.417
                  4007.509                   4007.588                   4007.654
