    Cumulative average(K)        Min Uncertainty(K)        Max Uncertainty(K)
                  3998.712                   3998.786                   3998.867
                  3998.940                   3999.002                   3999.052
                  3999.096                   3999.134                   3999.162
                  3999.175                   3999.157                   3999.092
                  3998.964                   3998.761                   3998.476
                  3998.111                   3997.676                   3997.188
                  3996.672                   3996.156                   3995.673
                  3995.252                   3994.923                   3994.707
                  3994.618                   3994.659                   3994.820
                  3995.078                   3995.410                   3995.791
                  3996.202                   3996.635                   3997.092
                  3997.577                   3998.091                   3998.628
                  3999.171                   3999.692                   4000.162
                  4000.550                   4000.836                   4001.013
                  4001.081                   4001.051                   4000.935
                  4000.746                   4000.497                   4000.204
                  3999.880                   3999.545                   3999.219
                  3998.923                   3998.674                   3998.484
                  3998.354                   3998.278                   3998.244
                  3998.243                   3998.268                   3998.318
                  3998.390                   3998.486                   3998.605
                  3998.749                   3998.913                   3999.096
                  3999.288                   3999.478                   3999.651
                  3999.791                   3999.884                   3999.918
                  3999.890                   3999.807                   3999.686
                  3999.556                   3999.450                   3999.402
                  3999.437                   3999.565                   3999.780
                  4000.066                   4000.396                   4000.743
                  4001.085                   4001.398                   4001.665
                  4001.874                   4002.014                   4002.083
                  4002.082                   4002.015                   4001.888
                  4001.706                   4001.478                   4001.210
                  4000.910                   4000.586                   4000.245
                  3999.894                   3999.538                   3999.186
                  3998.841                   3998.505                   3998.171
                  3997.828                   3997.462                   3997.058
                  3996.608                   3996.110                   3995.578
                  3995.035                   3994.516                   3994.056
                  3993.694                   3993.461                   3993.380
                  3993.459                   3993.692                   3994.057
                  3994.525                   3995.057                   3995.622
                  3996.195                   3996.762                   3997.319
                  3997.865                   3998.400                   3998.924
                  3999.437                   3999.934                   4000.412
                  4000.858                   4001.255                   4001.580
                  4001.814                   4001.943                   4001.962
                  4001.881                   4001.712                   4001.477
                  4001.194                   4000.885                   4000.565
                  4000.249                   3999.946                   3999.660
                  3999.394                   3999.144                   3998.913
                  3998.702                   3998.520                   3998.380
                  3998.299                   3998.294                   3998.375
                  3998.540                   3998.773                   3999.045
                  3999.317                   3999.550                   3999.713
                  3999.790                   3999.781                   3999.701
                  3999.572                   3999.419                   3999.263
                  3999.124                   3999.017                   3998.958
                  3998.965                   3999.048                   3999.216
                  3999.461                   3999.765                   4000.095
                  4000.412                   4000.675                   4000.851
                  4000.919                   4000.874                   4000.729
                  4000.507                   4000.242                   3999.969
                  3999.716                   3999.505                   3999.345
                  3999.239                   3999.183                   3999.173
                  3999.203                   3999.266                   3999.351
                  3999.443                   3999.521                   3999.560
                  3999.536                   3999.428                   3999.226
                  3998.930                   3998.555                   3998.126
                  3997.679                   3997.253                   3996.887
                  3996.616                   3996.467                   3996.457
                  3996.589                   3996.854                   3997.228
                  3997.671                   3998.139                   3998.582
                  3998.958                   3999.235                   3999.393
                  3999.428                   3999.346                   3999.165
                  3998.904                   3998.592                   3998.253
                  3997.916                   3997.605                   3997.343
                  3997.149                   3997.037                   3997.019
                  3997.094                   3997.254                   3997.480
                  3997.746                   3998.022                   3998.283
                  3998.513                   3998.703                   3998.853
                  3998.967                   3999.046                   3999.094
                  3999.112                   3999.106                   3999.082
                  3999.050                   3999.024                   3999.016
                  3999.041                   3999.109                   3999.223
                  3999.382                   3999.579                   3999.805
                  4000.050                   4000.309                   4000.576
                  4000.847                   4001.110                   4001.348
                  4001.544                   4001.676                   4001.731
                  4001.702                   4001.592                   4001.412
                  4001.183                   4000.928                   4000.669
                  4000.426                   4000.210                   4000.023
                  3999.858                   3999.706                   3999.554
                  3999.397                   3999.234                   3999.075
                  3998.940                   3998.850                   3998.824
                  3998.871                   3998.983                   3999.142
                  3999.323                   3999.504                   3999.664
                  3999.794                   3999.891                   3999.950
                  3999.971                   3999.950                   3999.878
                  3999.750                   3999.564                   3999.322
                  3999.033                   3998.710                   3998.370
                  3998.030                   3997.706                   3997.412
                  3997.156                   3996.945                   3996.783
                  3996.673                   3996.616                   3996.612
                  3996.660                   3996.752                   3996.880
                  3997.030                   3997.186                   3997.332
                  3997.452                   3997.532                   3997.563
                  3997.537                   3997.456                   3997.328
                  3997.168                   3997.001                   3996.857
                  3996.766                   3996.756                   3996.844
                  3997.032                   3997.310                   3997.661
                  3998.062                   3998.491                   3998.931
                  3999.366                   3999.782                   4000.166
                  4000.511                   4000.814                   4001.073
                  4001.293                   4001.480                   4001.637
                  4001.766                   4001.864                   4001.926
                  4001.945                   4001.913                   4001.822
                  4001.669                   4001.451                   4001.177
                  4000.858                   4000.516                   4000.175
                  3999.860                   3999.601                   3999.421
                  3999.339                   3999.368                   3999.507
                  3999.743                   4000.050                   4000.389
                  4000.719                   4000.995                   4001.176
                  4001.236                   4001.156                   4000.938
                  4000.600                   4000.173                   3999.703
                  3999.233                   3998.804                   3998.448
                  3998.181                   3998.008                   3997.926
                  3997.924                   3997.988                   3998.099
                  3998.238                   3998.386                   3998.525
                  3998.640                   3998.721                   3998.759
                  3998.749                   3998.686                   3998.575
                  3998.425                   3998.249                   3998.067
