                    U.  S.  G E O L O G I C A L  S U R V E Y

                     E A R T H Q U A K E  D A T A  B A S E



 FILE CREATED:  Mon Jan 21 14:22:57 2008
 Circle Search   Earthquakes=      2592
 Circle Center Point Latitude:   62.499N  Longitude:   114.670W
 Radius:   20014.199 km
 Catalog Used: Preliminary Determination of Epicenters
 Date Range: Year:    2007  -   2007   Month: 01/Day: 01   Month: 12/Day: 31
 Magnitude Range:   5.0  -   9.0
 Depth Range:    0  -  900
 Data Selection: Historical & Preliminary Data


 CAT   YEAR   MO DA ORIG TIME   LAT    LONG  DEP  MAGNITUDE    DIST
                                                               km
                                                              

 PDE   2007   01 25 151836.03   1.73   97.11  30 5.30 mb GS   12399
 PDE   2007   01 25 212916.97 -59.17  157.95  10 5.40 Mw CMT  15382
 PDE   2007   01 25 235749.26  51.77 -175.42  72 5.00 mb GS    3711
 PDE   2007   01 26 023425.72 -19.87 -174.48  43 5.10 Mw CMT  10507
 PDE   2007   01 26 074604.52  34.41  141.43  54 5.10 mb GS    7339
 PDE   2007   01 26 114429      1.14  126.13  10 5.30 mb GS   11341
 PDE   2007   01 26 210046.02   9.12  -40.48  10 5.10 Mw CMT   8297
 PDE   2007   01 26 221228.43  14.38  145.32 136 5.20 Mw CMT   9104
 PDE   2007   01 27 001557.64 -59.83  150.37  10 5.10 mb GS   15744
 PDE   2007   01 27 011924.46   1.31  126.53  10 5.00 Mw CMT  11305
 PDE   2007   01 27 070037.13   1.28  126.56  10 5.50 Mw CMT  11307
 PDE   2007   01 27 102146.76   1.28  126.20  10 5.60 Mw CMT  11323
 PDE   2007   01 27 102419.80 -36.65  177.13  12 5.00 ML EL   12535
 PDE   2007   01 27 110416.85   1.22  126.20  10 5.00 mb GS   11329
 PDE   2007   01 27 154920.80  21.95  143.08  10 5.00 mb GS    8473
 PDE   2007   01 28 025320.85 -45.16  -72.32  49 5.20 Mw CMT  12503
 PDE   2007   01 28 050656.62   1.22  126.50  10 5.60 Mw CMT  11316
 PDE   2007   01 28 081231.10 -17.75  179.87 567 5.60 Mw CMT  10539
 PDE   2007   01 28 120905.50   1.01  126.31  10 5.80 Mw CMT  11345
 PDE   2007   01 28 153446.86 -54.07 -133.57  10 5.40 mb GS   13019
 PDE   2007   01 28 171650.02  -6.60  130.37 106 5.30 mb GS   11912
 PDE   2007   01 29 013521.19  -2.13  139.01  28 5.20 Mw CMT  11043
 PDE   2007   01 29 074741.68   4.60  -72.61 436 5.30 Mw CMT   7282
 PDE   2007   01 29 194834.44   8.36   93.60  30 5.40 Mw CMT  11786
 PDE   2007   01 30 014833.47   1.43  126.17  18 5.40 Mw CMT  11310
 PDE   2007   01 30 023510.60 -37.86   78.00  10 5.20 Mw CMT  17126
 PDE   2007   01 30 045450.57 -54.74  146.30  11 6.90 Ms GS   15534
 PDE   2007   01 30 080909.40 -55.50  146.84  10 5.10 mb GS   15569
 PDE   2007   01 30 213744.37  20.98  144.71  20 6.60 Mw CMT   8489
 PDE   2007   01 31 021426.13 -19.21  169.56 290 5.40 Mw CMT  11164
 PDE   2007   01 31 031552.29 -29.78 -178.00  34 6.50 Mw CMT  11651
 PDE   2007   01 31 065125.09 -11.42  166.20  77 5.50 Mw CMT  10564
 PDE   2007   01 31 065549.30 -11.49  166.28  81 5.10 mb GS   10567
 PDE   2007   01 31 105233.97  39.82   70.26  10 5.20 Mw CMT   8662
 PDE   2007   01 31 164031.07  -9.74  159.68  23 5.20 mb GS   10729
 PDE   2007   01 31 203134.84  -7.82  107.19  51 5.60 mb GS   13060
 PDE   2007   02 01 001426.05 -37.65   78.07  10 5.50 Mw CMT  17103
 PDE   2007   02 01 104326.72   1.22  126.35  10 5.50 mb GS   11323
 PDE   2007   02 01 124527.46   1.00  126.00  10 5.00 mb GS   11360
 PDE   2007   02 02 120628     39.50   20.67   5 5.00 ML HE    8024
 PDE   2007   02 02 150221.06 -31.02 -177.87  90 5.00 mb GS   11770
 PDE   2007   02 02 220247.25  38.97   71.37  35 5.20 mb GS    8753
 PDE   2007   02 02 223218.79  37.69   91.77  10 5.40 Mw CMT   8658
 PDE   2007   02 03 052809.21 -19.87 -176.56 266 5.10 Mw CMT  10595
 PDE   2007   02 03 090015.79 -45.24  -72.24  10 5.30 Mw CMT  12514
 PDE   2007   02 03 110323.05  15.07  146.87  10 5.00 mb GS    8959
 PDE   2007   02 03 134323.08  35.81   22.43  59 5.40 Mw CMT   8462
 PDE   2007   02 03 164737.17 -15.13 -174.35  10 5.00 Mw CMT  10022
 PDE   2007   02 03 193122.34  13.87  145.21  97 5.30 mb GS    9160
 PDE   2007   02 04 011923.44  -0.57  127.47  30 5.20 mb GS   11449
 PDE   2007   02 04 033319.39  35.34  -35.94  10 5.60 Mw S     6028
 PDE   2007   02 04 094611.85  51.85 -176.26  46 5.00 mb GS    3747
 PDE   2007   02 04 101352.04 -17.23  -69.10 172 5.10 Mw CMT   9682
 PDE   2007   02 04 191425.36 -39.21  176.36  65 5.30 ML EL   12817
 PDE   2007   02 04 205659.13  19.37  -78.52  10 6.20 Mw S     5530
 PDE   2007   02 04 211746.79 -55.88 -122.72  10 6.20 Mw CMT  13134
 PDE   2007   02 04 225254.37 -55.79 -123.45  10 5.60 Mw CMT  13128
 PDE   2007   02 05 064257.97  49.43  155.41  10 5.20 Mw CMT   5315
 PDE   2007   02 05 095551.10 -20.61 -175.65  10 5.80 Mw CMT  10631
 PDE   2007   02 05 101624.23 -20.68 -175.49  15 5.60 mb GS   10631
 PDE   2007   02 05 101923.98 -20.67 -175.47  15 5.50 Mw CMT  10630
 PDE   2007   02 05 163701.99  -1.40  -14.08  10 5.10 Mw CMT  10681
 PDE   2007   02 05 205806.37 -59.92  -28.23 112 5.20 mb GS   15405
 PDE   2007   02 07 022923.15 -21.00 -178.70 618 5.30 Mw CMT  10801
 PDE   2007   02 07 053522.81 -33.67 -178.91  19 5.20 mb GS   12077
 PDE   2007   02 07 154224.70 -10.20  123.72  10 5.00 mb GS   12588
 PDE   2007   02 07 185500.36 -17.71  -71.08  63 5.50 mb GS    9664
 PDE   2007   02 08 015454.50   2.70   95.65  30 5.10 mb GS   12337
 PDE   2007   02 08 071504.71  46.48  153.24  10 5.50 mb GS    5674
 PDE   2007   02 08 102157.07   8.69  -39.47  10 5.20 mb GS    8391
 PDE   2007   02 08 120535.90   8.76  -39.42  10 5.10 Mw CMT   8386
 PDE   2007   02 08 130014.79   9.14  -39.47  10 5.00 Mw CMT   8346
 PDE   2007   02 08 143210.04   8.16  -39.28  10 5.10 Mw CMT   8452
 PDE   2007   02 08 162808.03   8.60  -39.43  10 5.30 mb GS    8402
 PDE   2007   02 08 163024.29  -9.01  118.82  25 5.10 Mw CMT  12694
 PDE   2007   02 09 022255     38.39   39.04   2 5.50 Mw CMT   8584
 PDE   2007   02 09 032512.45 -31.29 -177.65 104 5.00 mb GS   11788
 PDE   2007   02 09 135101.40 -36.31  177.53 303 5.10 UK EL   12485
 PDE   2007   02 10 060302.48 -42.98  -71.56 157 5.50 Mw CMT  12296
 PDE   2007   02 10 220046.57  -4.84 -106.01  10 5.20 Mw CMT   7497
 PDE   2007   02 11 043918.39  36.73   72.97  53 5.10 Mw CMT   8993
 PDE   2007   02 11 090907.73  21.34 -106.32  41 5.20 mb GS    4614
 PDE   2007   02 11 104735.01   6.18   94.40  67 5.60 mb GS   11999
 PDE   2007   02 11 153448.73  43.48 -127.36  10 5.00 Mw CMT   2272
 PDE   2007   02 11 210302.76   5.54  126.28  66 5.00 mb GS   10891
 PDE   2007   02 12 020856.04  -5.00  144.98  42 5.90 Mw CMT  11022
 PDE   2007   02 12 044409.81   1.51   97.11  30 5.00 mb GS   12423
 PDE   2007   02 12 103522.75  35.80  -10.31  20 6.20 mb GS    7225
 PDE   2007   02 12 124531.70   5.56  126.07  24 6.10 Mw CMT  10898
